Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,6137154.85,269512.60,791645.40,2315,0,2404,0,4915,0,473,0,23,0.698040881080079,4788
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,11972780.33,385348.48,106040.00,4208,0,3365,0,9183,0,1357,0,50,0.9079249023022602,10872
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,373011.81,11519.28,3210.00,175,0,315,0,484,0,33,0,5,0.698600295585069,348
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,3677333.12,2870369.89,2767806.00,2137,0,762,0,4795,0,911,0,26,0.9245513489229084,8196
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,2016341.58,581510.21,1604490.00,452,0,138,0,1089,0,245,0,24,0.4034815394236258,5844
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,2210524.00,779046.55,2333920.00,1060,0,450,0,2512,0,530,0,15,0.9553679531000018,4692
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,1029196.94,893847.92,222117.84,586,0,323,0,1666,0,222,0,18,0.9646368067768998,2340
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,1726235.52,746967.98,298679.06,583,0,200,0,1508,0,248,0,17,0.9457689633398646,2340
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,1357913.36,315861.64,402750.94,463,0,217,0,1022,0,146,0,15,0.8669521474882735,1536
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,13375409.87,0.00,0,3682,0,959,0,8863,0,1606,49,1.0095772164180628,14388
